Date,Open SP500,High SP500,Low SP500,Close SP500,Volume SP500,Interest Rate,Unemployment Rate,Inflation Rate,CPIAUCSL,Open RUSSELL2000,High RUSSELL2000,Low RUSSELL2000,Close RUSSELL2000,Volume RUSSELL2000,Close Oil,Close Gold,Open Gold,High Gold,Low Gold,Change % Gold,OPEN_CLOSE_CHANGE_ABB_SP500,OPEN_CLOSE_CHANGE_ABB_RUSSELL2000,OPEN_CLOSE_CHANGE_ABB_Gold,Interest_Rate_Change,Inflation_Rate_Change,Unemployment_Rate_Change,CPI_Change
1991-09-30,396.470001,397.619995,382.769989,387.859985,3404430000.0,5.45,6.9,4.5,137.0,178.529999,180.160004,175.289993,180.160004,3367460000.0,21.43,354.05,351.65,354.05,344.25,1.37,-8.419984000000113,1.6000049999999817,-35.71000000000009,-0.20999999999999996,-0.09999999999999964,0.0,0.4000000000000057
1991-10-31,387.859985,393.809998,376.109985,392.450012,4082380000.0,5.21,7.0,4.4,137.2,180.149994,185.0,175.610001,185.0,4066550000.0,22.0,357.95,354.55,363.3,354.1,0.01,4.770020000000045,4.769959000000057,-34.40999999999991,-0.2400000000000002,-0.09999999999999964,0.09999999999999964,0.19999999999998863
1991-11-30,392.459991,398.220001,371.630005,375.220001,3737620000.0,4.81,7.0,4.5,137.8,184.970001,188.339996,174.889999,176.369995,3718510000.0,20.08,367.9,358.25,368.95,353.65,0.51,-17.209960999999964,-8.58001800000011,-27.94999999999999,-0.40000000000000036,0.09999999999999964,0.0,0.6000000000000227
1991-12-31,376.549988,418.320007,371.359985,417.089996,4232140000.0,4.43,7.3,4.4,138.2,175.529999,189.940002,174.429993,189.940002,4225090000.0,17.75,354.3,368.0,368.95,352.95,0.38,40.63006600000011,14.529964999999976,-46.77999999999997,-0.3799999999999999,-0.09999999999999964,0.2999999999999998,0.39999999999997726
1992-01-31,415.140015,421.179993,408.640015,408.779999,5533360000.0,4.03,7.3,3.9,138.3,187.830002,206.009995,187.490005,205.160004,5492780000.0,18.15,357.0,354.3,357.85,349.55,0.73,-6.179994000000022,15.970078999999942,-49.02999999999997,-0.39999999999999947,-0.5000000000000004,0.0,0.10000000000002274
1992-02-29,411.649994,418.079987,406.339996,412.700012,4465230000.0,4.06,7.4,3.8,138.6,204.880005,213.0,204.529999,211.149994,4440950000.0,17.45,353.1,359.35,357.8,349.6,-0.18,0.8600160000000301,6.249958000000049,-31.55000000000001,0.02999999999999936,-0.10000000000000009,0.10000000000000053,0.29999999999998295
1992-03-31,413.859985,416.070007,401.940002,403.690002,4268560000.0,3.98,7.4,3.9,139.1,211.020004,212.259995,202.320007,203.699997,4249640000.0,19.09,343.4,354.2,353.1,338.25,0.45,-10.189972000000012,-7.379974999999973,-40.45000000000016,-0.07999999999999963,0.10000000000000009,0.0,0.5
1992-04-30,403.670013,416.279999,392.410004,414.950012,4315840000.0,3.73,7.4,3.9,139.4,203.699997,203.699997,191.059998,196.259995,4302390000.0,19.65,337.15,345.0,342.55,335.75,0.42,11.420015000000149,-8.05999300000002,-33.95999999999998,-0.25,0.0,0.0,0.30000000000001137
1992-05-31,414.950012,418.75,409.850006,415.350006,3643980000.0,3.82,7.6,3.8,139.7,196.270004,200.839996,190.850006,198.520004,3626650000.0,20.7,336.55,338.65,338.65,335.0,-0.22,0.30001900000002024,2.1300179999999784,-14.749999999999943,0.08999999999999986,-0.10000000000000009,0.1999999999999993,0.29999999999998295
1992-06-30,415.350006,417.299988,399.920013,408.140015,4259830000.0,3.76,7.8,3.8,140.1,198.520004,200.210007,185.729996,188.580002,4209090000.0,20.6,343.25,336.75,344.35,337.85,-0.13,-7.289950000000147,-9.969986000000006,6.549999999999898,-0.06000000000000005,0.0,0.20000000000000018,0.4000000000000057
1992-07-31,408.200012,424.799988,407.200012,424.209991,4265220000.0,3.25,7.7,3.7,140.5,188.570007,194.75,185.320007,194.740005,4250080000.0,20.38,357.85,343.3,359.5,344.15,0.31,16.150025000000085,6.1500079999999855,12.99999999999983,-0.5099999999999998,-0.09999999999999964,-0.09999999999999964,0.4000000000000057
1992-08-31,423.920013,425.140015,408.299988,414.029999,3826740000.0,3.3,7.6,3.5,140.8,193.820007,195.860001,186.009995,188.789993,3815650000.0,19.65,342.45,356.95,357.85,335.1,0.81,-9.91003500000005,-5.0100419999999986,-16.65000000000026,0.04999999999999982,-0.20000000000000018,-0.10000000000000053,0.30000000000001137
1992-09-30,414.029999,425.269989,412.709991,417.799988,4023850000.0,3.22,7.6,3.3,141.1,188.820007,194.729996,188.529999,192.910004,3996530000.0,20.18,348.55,342.35,351.25,338.9,-0.06,3.859926000000087,3.7999890000000107,6.650000000000034,-0.07999999999999963,-0.20000000000000018,0.0,0.29999999999998295
1992-10-31,417.799988,421.160004,396.799988,418.679993,4507010000.0,3.1,7.3,3.5,141.7,192.910004,198.910004,183.399994,198.910004,4470560000.0,19.13,339.7,348.55,350.85,337.55,0.01,0.8000190000001339,4.419999000000018,-10.449999999999989,-0.1200000000000001,0.20000000000000018,-0.2999999999999998,0.5999999999999943
1992-11-30,420.859985,431.929993,415.579987,431.350006,4350700000.0,3.09,7.4,3.4,142.1,198.259995,213.809998,197.809998,213.809998,4330500000.0,19.25,334.55,339.5,339.95,330.25,-0.06,10.499969000000078,15.520004,-8.300000000000125,-0.010000000000000231,-0.10000000000000009,0.10000000000000053,0.4000000000000057
1992-12-31,431.350006,442.649994,428.609985,435.709991,4876150000.0,2.92,7.4,3.3,142.3,213.809998,221.009995,212.559998,221.009995,4829060000.0,17.85,333.15,334.4,338.25,332.45,-0.07,4.25997899999993,7.170014999999978,-0.650000000000091,-0.16999999999999993,-0.10000000000000009,0.0,0.20000000000001705
1993-01-31,438.820007,442.660004,426.880005,438.779999,5446760000.0,3.02,7.3,3.5,142.8,218.429993,230.690002,218.429993,228.100006,5418660000.0,18.48,329.85,333.35,333.15,327.7,-0.11,-0.05004900000000134,9.689986999999974,-3.2500000000001137,0.10000000000000009,0.20000000000000018,-0.10000000000000053,0.5
1993-02-28,438.779999,450.040009,428.25,443.380005,5442450000.0,3.03,7.1,3.6,143.1,228.089996,232.449997,216.429993,222.410004,5357080000.0,18.83,328.45,329.95,332.2,327.8,-0.32,4.529968999999994,-5.699981000000037,-0.7000000000000455,0.009999999999999787,0.10000000000000009,-0.20000000000000018,0.29999999999998295
1993-03-31,443.380005,456.76001,441.070007,451.670013,5766950000.0,3.07,7.0,3.4,143.3,222.410004,230.800003,222.25,229.210007,5663860000.0,18.7,337.0,328.55,337.0,326.4,0.12,8.289980000000071,6.760009999999994,8.5,0.040000000000000036,-0.20000000000000018,-0.09999999999999964,0.20000000000001705
1993-04-30,451.670013,452.630005,432.299988,440.190002,5853170000.0,2.96,7.1,3.5,143.8,229.210007,229.289993,218.399994,222.679993,5781330000.0,18.85,355.6,336.65,356.25,336.75,-0.18,-11.37997299999995,-6.530013999999994,18.640000000000157,-0.10999999999999988,0.10000000000000009,0.09999999999999964,0.5
1993-05-31,438.890015,454.549988,436.859985,450.190002,5356100000.0,3.0,7.1,3.4,144.2,221.330002,232.929993,221.330002,232.190002,5344650000.0,18.43,377.38,355.6,381.25,353.55,-1.02,11.19992000000002,10.85000599999998,11.42000000000013,0.040000000000000036,-0.10000000000000009,0.0,0.39999999999997726
1993-06-30,450.230011,455.630005,442.5,450.529999,5544400000.0,3.04,7.0,3.3,144.3,232.190002,234.330002,226.520004,233.350006,5528060000.0,17.43,377.25,379.0,378.5,365.38,-0.33,0.42996100000004844,1.199998000000022,2.4400000000000546,0.040000000000000036,-0.10000000000000009,-0.09999999999999964,0.10000000000002274
1993-07-31,450.540009,451.149994,441.399994,448.130005,5308530000.0,3.06,6.9,3.2,144.5,233.350006,237.910004,233.020004,236.460007,5291510000.0,16.85,407.05,377.27,407.05,385.7,1.76,-2.1300359999999046,3.100005999999979,28.429999999999893,0.020000000000000018,-0.09999999999999964,-0.09999999999999964,0.19999999999998863
1993-08-31,450.190002,463.559998,446.940002,463.559998,5760620000.0,3.03,6.8,3.3,144.8,236.520004,246.169998,235.830002,246.169998,5739050000.0,16.73,372.5,400.75,407.05,367.5,0.54,13.100038999999981,9.66999899999999,-22.809999999999945,-0.03000000000000025,0.09999999999999964,-0.10000000000000053,0.30000000000001137
1993-09-30,463.549988,463.799988,449.640015,458.929993,5552720000.0,3.09,6.7,3.2,145.0,246.190002,252.949997,242.149994,252.949997,5532330000.0,17.23,355.45,372.25,369.5,343.88,0.59,-4.540006999999889,6.7599950000000035,-14.400000000000034,0.06000000000000005,-0.09999999999999964,-0.09999999999999964,0.19999999999998863
